city_name,id,lat_top_left,lng_top_left,lat_bottom_right,lng_bottom_right
Hong Kong,1,22.512395,113.960305,22.209818,114.305305
Australia,2,-10.918262,114.224445,-11.918262,161.302823
Australia,3,-11.918262,114.224445,-12.918262,161.302823
Australia,4,-12.918262,114.224445,-13.918262,161.302823
Australia,5,-13.918262,114.224445,-14.918262,161.302823
Australia,6,-14.918262,114.224445,-15.918262,161.302823
Australia,7,-15.918262,114.224445,-16.918262,161.302823
Australia,8,-16.918262,114.224445,-17.918262,161.302823
Australia,9,-17.918262,114.224445,-18.918262,161.302823
Australia,10,-18.918262,114.224445,-19.918262,161.302823
Australia,11,-19.918262,114.224445,-20.918262,161.302823
Australia,12,-20.918262,114.224445,-21.918262,161.302823
Australia,13,-21.918262,114.224445,-22.918262,161.302823
Australia,14,-22.918262,114.224445,-23.918262,161.302823
Australia,15,-23.918262,114.224445,-24.918262,161.302823
Australia,16,-24.918262,114.224445,-25.918262,161.302823
Australia,17,-25.918262,114.224445,-26.918262,161.302823
Australia,18,-26.918262,114.224445,-27.918262,161.302823
Australia,19,-27.918262,114.224445,-28.918262,161.302823
Australia,20,-28.918262,114.224445,-29.918262,161.302823
Australia,21,-29.918262,114.224445,-30.918262,161.302823
Australia,22,-30.918262,114.224445,-31.918262,161.302823
Australia,23,-31.918262,114.224445,-32.918262,161.302823
Australia,24,-32.918262,114.224445,-33.918262,161.302823
Australia,25,-33.918262,114.224445,-34.918262,161.302823
Australia,26,-34.918262,114.224445,-35.918262,161.302823
Australia,27,-35.918262,114.224445,-36.918262,161.302823
Australia,28,-36.918262,114.224445,-37.918262,161.302823
Australia,29,-37.918262,114.224445,-38.782303,161.302823
Australia,30,-38.918262,114.224445,-39.782303,161.302823
Australia,31,-39.918262,114.224445,-40.782303,161.302823
TaiWan,32,25.256470,120.112935,21.946079,121.926649
